2009,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,California Ave. Park,Non-Departmental:California Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,27985
2010,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,California Ave. Park,Non-Departmental:California Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,25195
2011,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,California Ave. Park,Non-Departmental:California Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,73752
2012,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,California Ave. Park,Non-Departmental:California Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,26000
2013,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,California Ave. Park,Non-Departmental:California Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,70000
2009,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,University Ave. Park,Non-Departmental:University Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,113732
2010,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,University Ave. Park,Non-Departmental:University Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,140566
2011,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,University Ave. Park,Non-Departmental:University Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,148991.7
2012,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,University Ave. Park,Non-Departmental:University Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,141000
2013,Special Revenue Funds,Special District,Special Revenue Funds:Special District,Non-Departmental,University Ave. Park,Non-Departmental:University Ave. Park,Revenue,Administrative Citations,Revenue:Administrative Citations,175000
