City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","American Indian and Alaska Native persons, percent, 2010 ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Adelanto,31765,56.01,567.1308695,39.5,0.372,0.256,0.21,0.082,0.019,0.044,0.056,0.612,0.103,3.96,7040,0.137,567.1,0.013,0.583,52183000,0.205,9086,0.438,18130,1905,0.17,170500,0.459,0.718,0.752,56.01,12337,0.486,0.652,43305,242,4,9,39,190,726,359,273,94,13
Agoura Hills,20330,7.79,2609.756098,28.8,0.241,0.04,0.166,0.597,0.075,0.113,0.036,0.8,0.044,2.75,7393,0.162,2608.8,0.003,0.095,281857000,0.013,7585,0.843,20537,12791,0.786,740200,0.21,0.912,-0.01,7.79,53776,0.507,0.955,106886,18,0,2,1,15,240,59,173,8,0
Alameda,73812,10.61,6956.833176,27.2,0.207,0.101,0.276,0.456,0.312,0.135,0.071,0.488,0.057,2.46,29177,0.469,6956.2,0.006,0.11,517321000,0.064,32351,0.508,72259,7440,0.453,662300,0.369,0.836,0.021,10.61,38434,0.522,0.907,74221,173,1,15,74,83,1964,389,1360,215,10
Albany,18539,1.79,10356.98324,29.1,0.25,0.087,0.32,0.688,0.312,0.1,0.067,0.507,0.076,2.46,7283,0.423,10368.6,0.005,0.102,183653000,0.035,7889,0.546,16444,11619,0.493,625400,0.398,0.792,0.127,1.79,36819,0.524,0.946,71994,37,0,5,24,8,582,95,392,95,4
Alhambra,83089,7.63,10889.7772,29.1,0.189,0.127,0.527,0.316,0.529,0.143,0.035,0.423,0.052,2.85,28804,0.429,10888.4,0.006,0.344,1491486000,0.015,30915,0.283,85804,17679,0.1,514800,0.742,0.89,-0.032,7.63,24327,0.527,0.788,51527,185,3,8,82,92,2075,345,1460,270,18
Aliso Viejo,47823,7.47,6402.008032,26,0.259,0.037,0.25,0.53,0.146,0.053,0.057,0.629,0.077,2.56,18077,0.376,6400.3,0.003,0.171,662801000,0.02,18867,0.72,40166,16269,0.618,558100,0.313,0.826,0.191,7.47,43231,0.519,0.945,95498,37,0,4,8,25,439,87,324,28,3
American Canyon,19454,4.84,4019.421488,32.6,0.283,0.051,0.297,0.282,0.329,0.096,0.066,0.859,0.069,3.3,5354,0.044,4021.9,0.007,0.257,176668000,0.079,5982,0.389,9774,10914,0.285,419000,0.418,0.869,0.99,4.84,27734,0.51,0.831,80556,38,0,2,20,16,515,100,375,40,1
Anaheim,336265,49.84,6746.890048,26.6,0.273,0.137,0.383,0.231,0.148,0.093,0.044,0.491,0.077,3.32,99283,0.439,6747.6,0.008,0.528,3679288000,0.028,104237,0.527,328014,11179,0.275,503000,0.6,0.835,0.025,49.84,22911,0.503,0.737,57807,1161,7,88,492,574,8473,1594,5869,1010,47
Anderson,9932,6.37,1559.183673,16.6,0.276,0.222,0.073,0.101,0.026,0.128,0.054,0.415,0.08,2.49,3972,0.296,1558.7,0.043,0.108,222466000,0.007,4211,0.833,9022,21203,0.783,194300,0.136,0.821,0.101,6.37,16760,0.533,0.811,34852,77,0,5,10,62,510,90,394,26,2
Antioch,102372,28.35,3611.005291,39.3,0.281,0.134,0.221,0.201,0.105,0.088,0.077,0.673,0.071,3.2,31119,0.168,3611.1,0.009,0.317,957135000,0.173,34849,0.489,90532,9691,0.356,388300,0.332,0.817,0.131,28.35,25458,0.513,0.842,66351,864,13,32,313,506,3096,1087,1049,960,36
