2006,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Advertising/Legal Notices,Expense:Advertising/Legal Notices,58
2007,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Advertising/Legal Notices,Expense:Advertising/Legal Notices,209
2008,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Advertising/Legal Notices,Expense:Advertising/Legal Notices,215
2009,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Advertising/Legal Notices,Expense:Advertising/Legal Notices,227
2010,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Advertising/Legal Notices,Expense:Advertising/Legal Notices,240
2011,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Advertising/Legal Notices,Expense:Advertising/Legal Notices,240
2012,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Advertising/Legal Notices,Expense:Advertising/Legal Notices,0
2006,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Community Promotion,Expense:Community Promotion,0
2007,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Community Promotion,Expense:Community Promotion,0
2008,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Community Promotion,Expense:Community Promotion,25000
2009,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Community Promotion,Expense:Community Promotion,26400
2010,Assessment District Funds,Core Area Maintenance,Assessment District Funds:Core Area Maintenance,Public Works,Core Area Maintenance,Public Works:Core Area Maintenance,Expense,Community Promotion,Expense:Community Promotion,27500
