2009,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Allocated Charges,Expense:Allocated Charges,25642.69
2010,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Allocated Charges,Expense:Allocated Charges,17536.31
2011,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Allocated Charges,Expense:Allocated Charges,3867.12
2012,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Allocated Charges,Expense:Allocated Charges,0
2013,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Allocated Charges,Expense:Allocated Charges,16426
2009,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Contract Services,Expense:Contract Services,11396.52
2010,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Contract Services,Expense:Contract Services,8181.32
2011,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Contract Services,Expense:Contract Services,17264.63
2012,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Contract Services,Expense:Contract Services,21308
2013,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Contract Services,Expense:Contract Services,16308
2009,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Facilities & Equip Purchases,Expense:Facilities & Equip Purchases,0
2010,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Facilities & Equip Purchases,Expense:Facilities & Equip Purchases,0
2011,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Facilities & Equip Purchases,Expense:Facilities & Equip Purchases,0
2012,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Facilities & Equip Purchases,Expense:Facilities & Equip Purchases,1000
2013,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Facilities & Equip Purchases,Expense:Facilities & Equip Purchases,1000
2009,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,General Expense,Expense:General Expense,2102.71
2010,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,General Expense,Expense:General Expense,1318.91
2011,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,General Expense,Expense:General Expense,1519.83
2012,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,General Expense,Expense:General Expense,5327
2013,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,General Expense,Expense:General Expense,10327
2009,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Salaries & Benefits,Expense:Salaries & Benefits,1961226.4
2010,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Salaries & Benefits,Expense:Salaries & Benefits,1628651.02
2011,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Salaries & Benefits,Expense:Salaries & Benefits,1600308.69
2012,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Salaries & Benefits,Expense:Salaries & Benefits,1645743.4
2013,General Funds,General Fund,General Funds:General Fund,Administrative Services,Accounting,Administrative Services:Accounting,Expense,Salaries & Benefits,Expense:Salaries & Benefits,1897138.6
