2009,General Government,Asset Seizure Fund,General Government:Asset Seizure Fund,Police Department,Asset Seizure Division,Police Department:Asset Seizure Division,Expense,Communications,Expenditure:Communications,21543
2010,General Government,Asset Seizure Fund,General Government:Asset Seizure Fund,Police Department,Asset Seizure Division,Police Department:Asset Seizure Division,Expense,Communications,Expenditure:Communications,12000
2011,General Government,Asset Seizure Fund,General Government:Asset Seizure Fund,Police Department,Asset Seizure Division,Police Department:Asset Seizure Division,Expense,Communications,Expenditure:Communications,25000
2012,General Government,Asset Seizure Fund,General Government:Asset Seizure Fund,Police Department,Asset Seizure Division,Police Department:Asset Seizure Division,Expense,Communications,Expenditure:Communications,25000
2013,General Government,Asset Seizure Fund,General Government:Asset Seizure Fund,Police Department,Asset Seizure Division,Police Department:Asset Seizure Division,Expense,Communications,Expenditure:Communications,25000
2009,General Government,Emergency Medical Services Fund,General Government:Emergency Medical Services Fund,Fire Department,Emergency Medical Svcs Division,Fire Department:Emergency Medical Svcs Division,Expense,Bldg/Veh/Equip Maint/Supplies,Expenditure:Bldg/Veh/Equip Maint/Supplies,14373
2010,General Government,Emergency Medical Services Fund,General Government:Emergency Medical Services Fund,Fire Department,Emergency Medical Svcs Division,Fire Department:Emergency Medical Svcs Division,Expense,Bldg/Veh/Equip Maint/Supplies,Expenditure:Bldg/Veh/Equip Maint/Supplies,14147
2011,General Government,Emergency Medical Services Fund,General Government:Emergency Medical Services Fund,Fire Department,Emergency Medical Svcs Division,Fire Department:Emergency Medical Svcs Division,Expense,Bldg/Veh/Equip Maint/Supplies,Expenditure:Bldg/Veh/Equip Maint/Supplies,21084
2012,General Government,Emergency Medical Services Fund,General Government:Emergency Medical Services Fund,Fire Department,Emergency Medical Svcs Division,Fire Department:Emergency Medical Svcs Division,Expense,Bldg/Veh/Equip Maint/Supplies,Expenditure:Bldg/Veh/Equip Maint/Supplies,16000
2013,General Government,Emergency Medical Services Fund,General Government:Emergency Medical Services Fund,Fire Department,Emergency Medical Svcs Division,Fire Department:Emergency Medical Svcs Division,Expense,Bldg/Veh/Equip Maint/Supplies,Expenditure:Bldg/Veh/Equip Maint/Supplies,16000
2009,General Government,Emergency Medical Services Fund,General Government:Emergency Medical Services Fund,Fire Department,Emergency Medical Svcs Division,Fire Department:Emergency Medical Svcs Division,Expense,Communications,Expenditure:Communications,1551
2010,General Government,Emergency Medical Services Fund,General Government:Emergency Medical Services Fund,Fire Department,Emergency Medical Svcs Division,Fire Department:Emergency Medical Svcs Division,Expense,Communications,Expenditure:Communications,1289
