2008,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Expense,Debt Service ,Expense:Debt Service ,2042212
2009,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Expense,Debt Service ,Expense:Debt Service ,2035912
2010,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Expense,Debt Service ,Expense:Debt Service ,2031112
2011,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Expense,Debt Service ,Expense:Debt Service ,2039312
2012,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Expense,Debt Service ,Expense:Debt Service ,2095112
2013,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Expense,Debt Service ,Expense:Debt Service ,1738570
2008,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Interest and Rental Income,Revenue:Interest and Rental Income,0
2009,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Interest and Rental Income,Revenue:Interest and Rental Income,5000
2010,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Interest and Rental Income,Revenue:Interest and Rental Income,10000
2011,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Interest and Rental Income,Revenue:Interest and Rental Income,5000
2012,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Interest and Rental Income,Revenue:Interest and Rental Income,3600
2013,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Interest and Rental Income,Revenue:Interest and Rental Income,600
2008,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Taxes,Revenue:Taxes,1015906
2009,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Taxes,Revenue:Taxes,2020000
2010,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Taxes,Revenue:Taxes,950000
2011,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Taxes,Revenue:Taxes,950000
2012,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Taxes,Revenue:Taxes,950000
2013,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Taxes,Revenue:Taxes,850000
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,156005
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,0
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,188547
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,177143
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,184288
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,180532
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,166566
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,82200
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,86200
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,58200
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,49000
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,60950
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,72500
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fees and Charges,Expense:Fees and Charges,18800
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fees and Charges,Expense:Fees and Charges,20375
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fees and Charges,Expense:Fees and Charges,16220
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fees and Charges,Expense:Fees and Charges,13400
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fees and Charges,Expense:Fees and Charges,13285
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fees and Charges,Expense:Fees and Charges,11420
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fixed Assets,Expense:Fixed Assets,0
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fixed Assets,Expense:Fixed Assets,0
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fixed Assets,Expense:Fixed Assets,0
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fixed Assets,Expense:Fixed Assets,0
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fixed Assets,Expense:Fixed Assets,0
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fixed Assets,Expense:Fixed Assets,0
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Internal Service Charges,Expense:Internal Service Charges,114908
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Internal Service Charges,Expense:Internal Service Charges,117065
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Internal Service Charges,Expense:Internal Service Charges,109429
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Internal Service Charges,Expense:Internal Service Charges,106422
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Internal Service Charges,Expense:Internal Service Charges,110532
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Internal Service Charges,Expense:Internal Service Charges,116006
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Materials and Supplies,Expense:Materials and Supplies,17500
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Materials and Supplies,Expense:Materials and Supplies,17510
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Materials and Supplies,Expense:Materials and Supplies,9900
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Materials and Supplies,Expense:Materials and Supplies,10600
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Materials and Supplies,Expense:Materials and Supplies,10100
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Materials and Supplies,Expense:Materials and Supplies,10500
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Meetings Events and Training,Expense:Meetings Events and Training,3000
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Meetings Events and Training,Expense:Meetings Events and Training,4800
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Meetings Events and Training,Expense:Meetings Events and Training,3150
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Meetings Events and Training,Expense:Meetings Events and Training,3150
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Meetings Events and Training,Expense:Meetings Events and Training,1750
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Meetings Events and Training,Expense:Meetings Events and Training,3950
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Salaries,Expense:Salaries,512790
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Salaries,Expense:Salaries,558423
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Salaries,Expense:Salaries,487714
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Salaries,Expense:Salaries,483074
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Salaries,Expense:Salaries,484942
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Salaries,Expense:Salaries,521963
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Fees Licenses and Permits ,Revenue:Fees Licenses and Permits ,28500
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Fees Licenses and Permits ,Revenue:Fees Licenses and Permits ,33000
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Fees Licenses and Permits ,Revenue:Fees Licenses and Permits ,32650
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Fees Licenses and Permits ,Revenue:Fees Licenses and Permits ,35000
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Fees Licenses and Permits ,Revenue:Fees Licenses and Permits ,40000
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Fees Licenses and Permits ,Revenue:Fees Licenses and Permits ,40000
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Other Sources ,Revenue:Other Sources ,0
2009,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Other Sources ,Revenue:Other Sources ,0
2010,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Other Sources ,Revenue:Other Sources ,10000
2011,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Other Sources ,Revenue:Other Sources ,5000
2012,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Other Sources ,Revenue:Other Sources ,12000
2013,General Fund,General Fund,General Fund:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Other Sources ,Revenue:Other Sources ,10000
2008,General Fund,General Fund,General Fund:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Benefits,Expense:Benefits,45700
