0.00000,0.012,0.634,"American Indian- and Alaska Native-owned firms, percent, 2007  ",0
0.00000,23.5,52.5,"Mean travel time to work (minutes), workers age 16+, 2006-2010  ",0
0.00000,532224000,49121973000,"Manufacturers shipments, 2007 ($1000)  ",5.32224
0.00000,0.242,0.606,"Persons under 18 years, percent, 2010  ",0
0.00000,0.113,0.638,"Persons below poverty level, percent, 2006-2010  ",0
50.00000,0.072,0.766,"Foreign born persons, percent,  2006-2010  ",3.6
0.00000,0.005,0.321,"Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ",0
35.00000,0.242,0.957,"Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ",8.47
0.00000,0.018,0.671,"Asian persons, percent, 2010 (a)  ",0
30.00000,0.132,0.858,"Persons 65 years and over, percent,  2010  ",3.96
0.00000,0.075,0.844,"Hispanic-owned firms, percent, 2007  ",0
0.00100,12667.5,8175133,"Population, 2010  ",12.6675
0.00000,0.025,0.448,"Persons reporting two or more races, percent, 2010  ",0
0.00200,1400,944129,"Total number of firms, 2007  ",2.8
12.00000,0.672,0.996,"Homeownership rate, 2006-2010  ",8.064
0.00000,0.066,0.228,"Persons under 5 years, percent, 2010  ",0
5.00000,2.55,6.81,"Persons per household, 2006-2010  ",12.75
0.00000,42988,89260,FIPS Code  ,0
0.00000,4691,3047249,"Households, 2006-2010  ",0
40.00000,0.222,1,"Housing units in multi-unit structures, percent, 2006-2010  ",8.88
0.00500,1970.15,57020.4,"Persons per square mile, 2010  ",9.85075
0.00000,105241000,1.9E+11,"Merchant wholesaler sales, 2007 ($1000)  ",0
0.00000,0.274,0.924,"Women-owned firms, percent, 2007  ",0
0.00000,0.004,0.971,"American Indian and Alaska Native persons, percent, 2010 (a)  ",0
0.00000,0.047,0.803,"Asian-owned firms, percent, 2007  ",0
0.00000,0.069,0.993,"Persons of Hispanic or Latino origin, percent, 2010 (b)  ",0
0.00000,210206000,78206482000,"Retail sales, 2007 ($1000)  ",6.005885714
0.00000,0.08,0.898,"Black-owned firms, percent, 2007  ",0
150.00000,0.038,0.98,"Black persons, percent, 2010 (a)  ",5.7
0.00000,5313.5,3371062,"Housing units, 2010  ",0
0.00000,0.821,0.992,"White persons, percent, 2010 (a)  ",0
0.00000,11375.5,8008278,"Population, 2000  ",0
0.00000,15492,299977,"Retail sales per capita, 2007  ",0
0.00000,0.756,0.989,"White persons not Hispanic, percent, 2010  ",0
0.00000,#NUM!,0,"Population, 2011 estimate  ",#NUM!
0.00008,185050,1000001,"Median value of owner-occupied housing units, 2006-2010  ",14.23461538
0.00000,0.112,0.986,"Language other than English spoken at home, pct age 5+, 2006-2010  ",0
0.00000,0.843,0.983,"Living in same house 1 year &amp; over, 2006-2010  ",0
100.00000,0.054,134.874,"Population, percent change, 2000 to 2010  ",5.4
0.00000,7.52,2870.34,"Land area in square miles, 2010  ",0
0.00000,0.001,0.416,"Native Hawaiian and Other Pacific Islander, percent, 2010 (a)  ",0
0.00029,24850,132668,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,7.1
0.00000,0.515,0.701,"Female persons, percent, 2010  ",0
0.00000,26178000,22095094000,"Accommodation and food services sales, 2007 ($1000)  ",5.2356
10.00000,0.882,1,"High school graduates, percent of persons age 25+, 2006-2010  ",8.82
0.00020,51443,237135,Median household income 2006-2010  ,10.2886
