City,Type,Category,Sub-Category,Amount
Adelanto,Expenditure,General Government,Legislative,86775
Adelanto,Expenditure,General Government,Management and Support,2406912
Adelanto,Expenditure,Public Safety,Police,5149106
Adelanto,Expenditure,Public Safety,Fire,3093671
Adelanto,Expenditure,Public Safety,Emergency Medical Services,
Adelanto,Expenditure,Public Safety,Animal Regulation,196458
Adelanto,Expenditure,Public Safety,Weed Abatement,
Adelanto,Expenditure,Public Safety,Street Lighting,58478
Adelanto,Expenditure,Public Safety,Disaster Preparedness,
Adelanto,Expenditure,Public Safety,Other,9258470
Adelanto,Expenditure,Transportation,"Streets, Highways, and Storm Drains",1530251
Adelanto,Expenditure,Transportation,Street Trees and Landscaping,
Adelanto,Expenditure,Transportation,Parking Facilities,
Adelanto,Expenditure,Transportation,Public Transit,
Adelanto,Expenditure,Transportation,Airports,
Adelanto,Expenditure,Transportation,Ports and Harbors,
Adelanto,Expenditure,Transportation,Other,
Adelanto,Expenditure,Community Development,Planning,597317
Adelanto,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Adelanto,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,916839
Adelanto,Expenditure,Community Development,Redevelopment,
Adelanto,Expenditure,Community Development,Housing,
Adelanto,Expenditure,Community Development,Employment,
Adelanto,Expenditure,Community Development,Community Promotion,
Adelanto,Expenditure,Community Development,Other,
Adelanto,Expenditure,Health,Physical and Mental Health,
Adelanto,Expenditure,Health,Hospitals and Sanitariums,
Adelanto,Expenditure,Health,Solid Waste,3134459
Adelanto,Expenditure,Health,Sewers,
Adelanto,Expenditure,Health,Cemeteries,
Adelanto,Expenditure,Health,Other,
Adelanto,Expenditure,Culture and Leisure,Parks and Recreation,466783
Adelanto,Expenditure,Culture and Leisure,Marinas and Wharfs,
Adelanto,Expenditure,Culture and Leisure,Libraries,
Adelanto,Expenditure,Culture and Leisure,Museums,
Adelanto,Expenditure,Culture and Leisure,Golf Courses,
Adelanto,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Adelanto,Expenditure,Culture and Leisure,Community Center and Auditoriums,69537
Adelanto,Expenditure,Culture and Leisure,Other,
Adelanto,Expenditure,Public Utilities,Water,
Adelanto,Expenditure,Public Utilities,Gas,
Adelanto,Expenditure,Public Utilities,Electric,
Adelanto,Expenditure,Public Utilities,Other,
Adelanto,Expenditure,Public Utilities,Other,
Adelanto,Total Expenditures,Total Expenditures,Total Expenditures,26965056
Agoura Hills,Expenditure,General Government,Legislative,1182513
Agoura Hills,Expenditure,General Government,Management and Support,1254781
Agoura Hills,Expenditure,Public Safety,Police,3654581
Agoura Hills,Expenditure,Public Safety,Fire,
Agoura Hills,Expenditure,Public Safety,Emergency Medical Services,
Agoura Hills,Expenditure,Public Safety,Animal Regulation,1012
Agoura Hills,Expenditure,Public Safety,Weed Abatement,
Agoura Hills,Expenditure,Public Safety,Street Lighting,
Agoura Hills,Expenditure,Public Safety,Disaster Preparedness,
Agoura Hills,Expenditure,Public Safety,Other,
Agoura Hills,Expenditure,Transportation,"Streets, Highways, and Storm Drains",5108956
Agoura Hills,Expenditure,Transportation,Street Trees and Landscaping,264833
Agoura Hills,Expenditure,Transportation,Parking Facilities,
Agoura Hills,Expenditure,Transportation,Public Transit,733453
Agoura Hills,Expenditure,Transportation,Airports,
Agoura Hills,Expenditure,Transportation,Ports and Harbors,
Agoura Hills,Expenditure,Transportation,Other,
Agoura Hills,Expenditure,Community Development,Planning,1155960
Agoura Hills,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Agoura Hills,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,531135
Agoura Hills,Expenditure,Community Development,Redevelopment,
Agoura Hills,Expenditure,Community Development,Housing,
Agoura Hills,Expenditure,Community Development,Employment,
Agoura Hills,Expenditure,Community Development,Community Promotion,
Agoura Hills,Expenditure,Community Development,Other,
Agoura Hills,Expenditure,Health,Physical and Mental Health,
Agoura Hills,Expenditure,Health,Hospitals and Sanitariums,
Agoura Hills,Expenditure,Health,Solid Waste,73167
Agoura Hills,Expenditure,Health,Sewers,
Agoura Hills,Expenditure,Health,Cemeteries,
Agoura Hills,Expenditure,Health,Other,
Agoura Hills,Expenditure,Culture and Leisure,Parks and Recreation,1658402
Agoura Hills,Expenditure,Culture and Leisure,Marinas and Wharfs,
Agoura Hills,Expenditure,Culture and Leisure,Libraries,
Agoura Hills,Expenditure,Culture and Leisure,Museums,26112
Agoura Hills,Expenditure,Culture and Leisure,Golf Courses,
Agoura Hills,Expenditure,Culture and Leisure,Sports Arenas and Stadiums,
Agoura Hills,Expenditure,Culture and Leisure,Community Center and Auditoriums,932999
Agoura Hills,Expenditure,Culture and Leisure,Other,
Agoura Hills,Expenditure,Public Utilities,Water,
Agoura Hills,Expenditure,Public Utilities,Gas,
Agoura Hills,Expenditure,Public Utilities,Electric,
Agoura Hills,Expenditure,Public Utilities,Other,
Agoura Hills,Expenditure,Public Utilities,Other,
Agoura Hills,Total Expenditures,Total Expenditures,Total Expenditures,16577904
Alameda,Expenditure,General Government,Legislative,1444162
Alameda,Expenditure,General Government,Management and Support,23702543
Alameda,Expenditure,Public Safety,Police,25279179
Alameda,Expenditure,Public Safety,Fire,7969433
Alameda,Expenditure,Public Safety,Emergency Medical Services,15188253
Alameda,Expenditure,Public Safety,Animal Regulation,488677
Alameda,Expenditure,Public Safety,Weed Abatement,
Alameda,Expenditure,Public Safety,Street Lighting,380374
Alameda,Expenditure,Public Safety,Disaster Preparedness,
Alameda,Expenditure,Public Safety,Other,
Alameda,Expenditure,Transportation,"Streets, Highways, and Storm Drains",6498119
Alameda,Expenditure,Transportation,Street Trees and Landscaping,723321
Alameda,Expenditure,Transportation,Parking Facilities,62666
Alameda,Expenditure,Transportation,Public Transit,1492806
Alameda,Expenditure,Transportation,Airports,
Alameda,Expenditure,Transportation,Ports and Harbors,
Alameda,Expenditure,Transportation,Other,
Alameda,Expenditure,Community Development,Planning,700815
Alameda,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,
Alameda,Expenditure,Community Development,Construction and Engineering Regulation Enforcement,4075951
Alameda,Expenditure,Community Development,Redevelopment,16769421
Alameda,Expenditure,Community Development,Housing,2582331
Alameda,Expenditure,Community Development,Employment,
Alameda,Expenditure,Community Development,Community Promotion,
Alameda,Expenditure,Community Development,Other,36374
Alameda,Expenditure,Health,Physical and Mental Health,
Alameda,Expenditure,Health,Hospitals and Sanitariums,
Alameda,Expenditure,Health,Solid Waste,1704664
Alameda,Expenditure,Health,Sewers,3754880
Alameda,Expenditure,Health,Cemeteries,
Alameda,Expenditure,Health,Other,
Alameda,Expenditure,Culture and Leisure,Parks and Recreation,5833456
Alameda,Expenditure,Culture and Leisure,Marinas and Wharfs,
Alameda,Expenditure,Culture and Leisure,Libraries,3238565
Alameda,Expenditure,Culture and Leisure,Museums,
Alameda,Expenditure,Culture and Leisure,Golf Courses,4163608
